año,provincia,ha_total,ha_bosque_nativo,fuente
1997,Jujuy,274,,bqd_bninc_ha_año_2023
1997,La Pampa,31780,31770,bqd_bninc_ha_año_2023
1997,La Rioja,25003,,bqd_bninc_ha_año_2023
1997,Mendoza,4100,2450,bqd_bninc_ha_año_2023
1997,Misiones,2160,54,bqd_bninc_ha_año_2023
1997,Neuquén,17280,40,bqd_bninc_ha_año_2023
1997,Río Negro,10482,5154,bqd_bninc_ha_año_2023
1997,Salta,40185,23694,bqd_bninc_ha_año_2023
1997,San Juan,439,,bqd_bninc_ha_año_2023
1997,San Luis,6436,2112,bqd_bninc_ha_año_2023
1997,Santa Cruz,21381,,bqd_bninc_ha_año_2023
1997,Santa Fe,492,40,bqd_bninc_ha_año_2023
1997,Santiago del Estero,8000,500,bqd_bninc_ha_año_2023
1997,Tierra del Fuego,148,23,bqd_bninc_ha_año_2023
1997,Tucumán,1321,,bqd_bninc_ha_año_2023
1998,Buenos Aires,38971,401,bqd_bninc_ha_año_2023
1998,Catamarca,2100,500,bqd_bninc_ha_año_2023
1998,Chaco,14726,,bqd_bninc_ha_año_2023
1998,Chubut,7672,4045,bqd_bninc_ha_año_2023
1998,Corrientes,315,,bqd_bninc_ha_año_2023
1998,Córdoba,20504,8817,bqd_bninc_ha_año_2023
1998,Entre Ríos,461,8,bqd_bninc_ha_año_2023
1998,Formosa,711,,bqd_bninc_ha_año_2023
1998,Jujuy,499,449,bqd_bninc_ha_año_2023
1998,La Pampa,389740,137265,bqd_bninc_ha_año_2023
1998,La Rioja,21012,1802,bqd_bninc_ha_año_2023
1998,Mendoza,111460,12403,bqd_bninc_ha_año_2023
1998,Misiones,5514,286,bqd_bninc_ha_año_2023
1998,Neuquén,12393,68,bqd_bninc_ha_año_2023
1998,Río Negro,82699,9384,bqd_bninc_ha_año_2023
1998,Salta,23042,14024,bqd_bninc_ha_año_2023
1998,San Juan,264,,bqd_bninc_ha_año_2023
1998,San Luis,146637,87015,bqd_bninc_ha_año_2023
1998,Santa Cruz,3483,,bqd_bninc_ha_año_2023
1998,Santa Fe,535,,bqd_bninc_ha_año_2023
1998,Santiago del Estero,2709,940,bqd_bninc_ha_año_2023
1998,Tierra del Fuego,534,53,bqd_bninc_ha_año_2023
1999,Buenos Aires,41574,1028,bqd_bninc_ha_año_2023
1999,Catamarca,1300,,bqd_bninc_ha_año_2023
1999,Chaco,9381,406,bqd_bninc_ha_año_2023
1999,Chubut,27438,8904,bqd_bninc_ha_año_2023
1999,Corrientes,8176,12,bqd_bninc_ha_año_2023
1999,Córdoba,59933,22306,bqd_bninc_ha_año_2023
1999,Entre Ríos,20237,7118,bqd_bninc_ha_año_2023
1999,Formosa,6240,,bqd_bninc_ha_año_2023
1999,Jujuy,329,43,bqd_bninc_ha_año_2023
1999,La Pampa,77270,34830,bqd_bninc_ha_año_2023
1999,La Rioja,67025,3,bqd_bninc_ha_año_2023
1999,Mendoza,67239,26247,bqd_bninc_ha_año_2023
1999,Misiones,3675,1476,bqd_bninc_ha_año_2023
1999,Neuquén,128756,323,bqd_bninc_ha_año_2023
1999,Río Negro,59385,10871,bqd_bninc_ha_año_2023
1999,Salta,14835,5865,bqd_bninc_ha_año_2023
1999,San Juan,1084,,bqd_bninc_ha_año_2023
1999,San Luis,87157,34729,bqd_bninc_ha_año_2023
1999,Santa Cruz,19098,16,bqd_bninc_ha_año_2023
1999,Santa Fe,364,44,bqd_bninc_ha_año_2023
1999,Santiago del Estero,1200,300,bqd_bninc_ha_año_2023
1999,Tierra del Fuego,214,89,bqd_bninc_ha_año_2023
1999,Tucumán,2818,,bqd_bninc_ha_año_2023
2000,Buenos Aires,17927,1116,bqd_bninc_ha_año_2023
2000,Catamarca,77233,27000,bqd_bninc_ha_año_2023
2000,Chaco,2639,169,bqd_bninc_ha_año_2023
2000,Chubut,134,27,bqd_bninc_ha_año_2023
2000,Ciudad Autónoma de Buenos Aires,32,2,bqd_bninc_ha_año_2023
2000,Corrientes,6014,12,bqd_bninc_ha_año_2023
2000,Córdoba,89920,20638,bqd_bninc_ha_año_2023
2000,Entre Ríos,1175,646,bqd_bninc_ha_año_2023
2000,Formosa,732,,bqd_bninc_ha_año_2023
2000,Jujuy,1167,18,bqd_bninc_ha_año_2023
2000,La Pampa,1411981,290154,bqd_bninc_ha_año_2023
2000,La Rioja,52178,10880,bqd_bninc_ha_año_2023
2000,Mendoza,609834,385779,bqd_bninc_ha_año_2023
2000,Misiones,3862,161,bqd_bninc_ha_año_2023
2000,Neuquén,15181,0,bqd_bninc_ha_año_2023
2000,Río Negro,155753,27619,bqd_bninc_ha_año_2023
2000,Salta,30793,15533,bqd_bninc_ha_año_2023
2000,San Juan,804,,bqd_bninc_ha_año_2023
2000,San Luis,299556,149100,bqd_bninc_ha_año_2023
2000,Santa Cruz,7378,122,bqd_bninc_ha_año_2023
2000,Santa Fe,2087,128,bqd_bninc_ha_año_2023
2000,Santiago del Estero,4732,2730,bqd_bninc_ha_año_2023
2000,Tierra del Fuego,22,22,bqd_bninc_ha_año_2023
2000,Tucumán,15800,11800,bqd_bninc_ha_año_2023
2001,Buenos Aires,75570,19998,bqd_bninc_ha_año_2023
2001,Catamarca,1916,,bqd_bninc_ha_año_2023
2001,Chaco,6289,55,bqd_bninc_ha_año_2023
2001,Chubut,5885,4425,bqd_bninc_ha_año_2023
2001,Ciudad Autónoma de Buenos Aires,16,,bqd_bninc_ha_año_2023
2001,Corrientes,2824,762,bqd_bninc_ha_año_2023
2001,Córdoba,83173,19234,bqd_bninc_ha_año_2023
2001,Entre Ríos,481,67,bqd_bninc_ha_año_2023
2001,Formosa,5596,,bqd_bninc_ha_año_2023
2001,Jujuy,134,,bqd_bninc_ha_año_2023
2001,La Pampa,2913817,579124,bqd_bninc_ha_año_2023
2001,La Rioja,65038,7400,bqd_bninc_ha_año_2023
2001,Mendoza,420340,241056,bqd_bninc_ha_año_2023
2001,Misiones,2924,156,bqd_bninc_ha_año_2023
2001,Neuquén,22552,0,bqd_bninc_ha_año_2023
2001,Río Negro,938045,35393,bqd_bninc_ha_año_2023
2001,Salta,47611,11442,bqd_bninc_ha_año_2023
2001,San Juan,575,1,bqd_bninc_ha_año_2023
2001,San Luis,90105,54655,bqd_bninc_ha_año_2023
2001,Santa Cruz,4705,501,bqd_bninc_ha_año_2023
2001,Santa Fe,2399,7,bqd_bninc_ha_año_2023
2001,Santiago del Estero,1382,1140,bqd_bninc_ha_año_2023
2001,Tierra del Fuego,57,57,bqd_bninc_ha_año_2023
2001,Tucumán,600,,bqd_bninc_ha_año_2023
2002,Buenos Aires,104907,31433,bqd_bninc_ha_año_2023
2002,Catamarca,43525,9097,bqd_bninc_ha_año_2023
2002,Chaco,145,1,bqd_bninc_ha_año_2023
2002,Chubut,7641,156,bqd_bninc_ha_año_2023
2002,Corrientes,4025,1046,bqd_bninc_ha_año_2023
2002,Córdoba,104773,25734,bqd_bninc_ha_año_2023
2002,Entre Ríos,496,236,bqd_bninc_ha_año_2023
2002,Formosa,9687,4,bqd_bninc_ha_año_2023
2002,Jujuy,140,14,bqd_bninc_ha_año_2023
2002,La Pampa,985793,304458,bqd_bninc_ha_año_2023
2002,La Rioja,78422,40447,bqd_bninc_ha_año_2023
2002,Mendoza,333430,90002,bqd_bninc_ha_año_2023
2002,Misiones,575,49,bqd_bninc_ha_año_2023
2002,Neuquén,8440,940,bqd_bninc_ha_año_2023
2002,Río Negro,333617,80876,bqd_bninc_ha_año_2023
2002,Salta,36516,9682,bqd_bninc_ha_año_2023
2002,San Juan,984,14,bqd_bninc_ha_año_2023
2002,San Luis,178112,178102,bqd_bninc_ha_año_2023
2002,Santa Cruz,9865,4022,bqd_bninc_ha_año_2023
2002,Santa Fe,2545,429,bqd_bninc_ha_año_2023
2002,Santiago del Estero,8018,5774,bqd_bninc_ha_año_2023
2002,Tierra del Fuego,23,19,bqd_bninc_ha_año_2023
2002,Tucumán,1049,85,bqd_bninc_ha_año_2023
2003,Buenos Aires,569736,19536,bqd_bninc_ha_año_2023
2003,Catamarca,11080,6880,bqd_bninc_ha_año_2023
2003,Chaco,16978,1549,bqd_bninc_ha_año_2023
2003,Chubut,44659,41,bqd_bninc_ha_año_2023
2003,Ciudad Autónoma de Buenos Aires,14,,bqd_bninc_ha_año_2023
2003,Corrientes,2132,1109,bqd_bninc_ha_año_2023
2003,Córdoba,127545,51474,bqd_bninc_ha_año_2023
2003,Entre Ríos,1381,400,bqd_bninc_ha_año_2023
2003,Formosa,7586,402,bqd_bninc_ha_año_2023
