mes,año,provincia,n_incendios,ha_total,ha_bosque_nativo,ha_bosque_cultivado,ha_arbustal,ha_pastizal,ha_sin_determinar,causas_negligencia,causas_intencional,causas_natural,causas_desconocida,fuente
Octubre,2024,Chubut,16,77,51,1,,26,,12,2,,2,anuario_2024
Octubre,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Octubre,2024,Corrientes,,,,,,,,,,,,anuario_2024
Octubre,2024,Córdoba,58,6375,,,2385,3990,,2,17,,39,anuario_2024
Octubre,2024,Entre Ríos,12,3944,297,15,50,3582,,,,,12,anuario_2024
Octubre,2024,Formosa,31,52,,,1,51,,5,26,,,anuario_2024
Octubre,2024,Jujuy,58,240,67,4,38,131,,52,,1,5,anuario_2024
Octubre,2024,La Pampa,12,945,308,28,126,482,,,7,,5,anuario_2024
Octubre,2024,La Rioja,1,150,,,,,150,,,,1,anuario_2024
Octubre,2024,Mendoza,3,23,2,,7,14,,1,2,,,anuario_2024
Octubre,2024,Misiones,,,,,,,,,,,,anuario_2024
Octubre,2024,Neuquén,,,,,,,,,,,,anuario_2024
Octubre,2024,Parques Nacionales,6,1209,420,,180,609,,,2,,4,anuario_2024
Octubre,2024,Río Negro,45,50,14,8,5,23,0,9,,,36,anuario_2024
Octubre,2024,Salta,27,2248,,1,95,2152,,,,,27,anuario_2024
Octubre,2024,San Juan,,,,,,,,,,,,anuario_2024
Octubre,2024,San Luis,4,517,302,,,215,,,,,4,anuario_2024
Octubre,2024,Santa Cruz,,,,,,,,,,,,anuario_2024
Octubre,2024,Santa Fe,,,,,,,,,,,,anuario_2024
Octubre,2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
Octubre,2024,Tierra del Fuego,,,,,,,,,,,,anuario_2024
Octubre,2024,Total,325,20112,1461,92,3239,15171,150,85,56,1,183,anuario_2024
Octubre,2024,Tucumán,10,1275,,20,,1255,,,,,10,anuario_2024
Noviembre,2024,Buenos Aires,,,,,,,,,,,,anuario_2024
Noviembre,2024,Catamarca,21,460,6,,73,381,,6,,,15,anuario_2024
Noviembre,2024,Chaco,15,1980,,,400,1580,,,,,15,anuario_2024
Noviembre,2024,Chubut,14,170,,,0,170,,3,,,11,anuario_2024
Noviembre,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Noviembre,2024,Corrientes,,,,,,,,,,,,anuario_2024
Noviembre,2024,Córdoba,21,770,,,15,755,,,9,,12,anuario_2024
Noviembre,2024,Entre Ríos,5,680,332,,,348,,,,,5,anuario_2024
Noviembre,2024,Formosa,21,68,,,,68,,,21,,,anuario_2024
Noviembre,2024,Jujuy,1,106,,,,106,,1,,,,anuario_2024
Noviembre,2024,La Pampa,4,492,33,1,,458,,,1,2,1,anuario_2024
Noviembre,2024,La Rioja,,,,,,,,,,,,anuario_2024
Noviembre,2024,Mendoza,6,1734,326,,200,1208,,,3,3,,anuario_2024
Noviembre,2024,Misiones,2,51,,,,51,,,,,2,anuario_2024
Noviembre,2024,Neuquén,,,,,,,,,,,,anuario_2024
Noviembre,2024,Parques Nacionales,17,4215,,,208,4007,,,14,,3,anuario_2024
Noviembre,2024,Río Negro,48,267,239,1,8,19,,9,,1,38,anuario_2024
Noviembre,2024,Salta,1,0,,,,0,,,,,1,anuario_2024
Noviembre,2024,San Juan,,,,,,,,,,,,anuario_2024
Noviembre,2024,San Luis,3,620,420,,,200,,,,,3,anuario_2024
Noviembre,2024,Santa Cruz,1,0,,,,0,,,,,1,anuario_2024
Noviembre,2024,Santa Fe,,,,,,,,,,,,anuario_2024
Noviembre,2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
Noviembre,2024,Tierra del Fuego,,,,,,,,,,,,anuario_2024
Noviembre,2024,Total,181,11689,1356,2,904,9427,,19,48,6,108,anuario_2024
Noviembre,2024,Tucumán,1,76,,,,76,,,,,1,anuario_2024
Diciembre,2024,Buenos Aires,,,,,,,,,,,,anuario_2024
Diciembre,2024,Catamarca,11,103,0,0,32,71,,1,,,10,anuario_2024
Diciembre,2024,Chaco,73,2099,254,53,532,1260,,,,,73,anuario_2024
Diciembre,2024,Chubut,11,21,,0,0,21,,7,2,2,,anuario_2024
Diciembre,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Diciembre,2024,Corrientes,,,,,,,,,,,,anuario_2024
Diciembre,2024,Córdoba,19,220,,,,220,,,7,,12,anuario_2024
Diciembre,2024,Entre Ríos,1,3,3,,,,,,,,1,anuario_2024
Diciembre,2024,Formosa,19,23,,,,23,,,19,,,anuario_2024
Diciembre,2024,Jujuy,4,30,,,0,30,,4,,,,anuario_2024
Diciembre,2024,La Pampa,16,2617,22,2,369,2225,,3,4,3,6,anuario_2024
Diciembre,2024,La Rioja,,,,,,,,,,,,anuario_2024
Diciembre,2024,Mendoza,9,1209,38,,65,1107,,2,2,5,,anuario_2024
Diciembre,2024,Misiones,5,106,,20,,86,,,,,5,anuario_2024
Diciembre,2024,Neuquén,,,,,,,,,,,,anuario_2024
Diciembre,2024,Parques Nacionales,9,541,,,,541,0,2,1,2,4,anuario_2024
Diciembre,2024,Río Negro,63,108,81,3,9,14,2,6,2,7,48,anuario_2024
Diciembre,2024,Salta,,,,,,,,,,,,anuario_2024
Diciembre,2024,San Juan,,,,,,,,,,,,anuario_2024
Diciembre,2024,San Luis,1,5,,,,5,,,,,1,anuario_2024
Diciembre,2024,Santa Cruz,2,0,0,,0,0,,1,1,,,anuario_2024
Diciembre,2024,Santa Fe,,,,,,,,,,,,anuario_2024
Diciembre,2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
Diciembre,2024,Tierra del Fuego,,,,,,,,,,,,anuario_2024
Diciembre,2024,Total,243,7085,397,78,1007,5602,2,26,38,19,160,anuario_2024
Diciembre,2024,Tucumán,,,,,,,,,,,,anuario_2024
