"año";"jurisdicción";"unidad";"superficie_total_incendiada";"superficie_afectada_por_incendios_bosque_nativo"
"2015";"Entre Ríos";"hectáreas";"1530";"503"
"2015";"Formosa";"hectáreas";"794";"6"
"2015";"Jujuy";"hectáreas";"1908";"49"
"2015";"La Pampa";"hectáreas";"213804";"92782"
"2015";"La Rioja";"hectáreas";"511";"-"
"2015";"Mendoza";"hectáreas";"19788";"1026"
"2015";"Misiones";"hectáreas";"378";"-"
"2015";"Neuquén";"hectáreas";"20564";"1"
"2015";"Río Negro";"hectáreas";"105108";"47"
"2015";"Salta";"hectáreas";"1094";"34"
"2015";"San Juan";"hectáreas";"591";"-"
"2015";"San Luis";"hectáreas";"33198";"3555"
"2015";"Santa Cruz";"hectáreas";"159";"1"
"2015";"Santa Fe";"hectáreas";"1177";"127"
"2015";"Santiago del Estero";"hectáreas";"1975";"591"
"2015";"Tierra del Fuego";"hectáreas";"5";"2"
"2015";"Tucumán";"hectáreas";"115";"-"
"2016";"Buenos Aires";"hectáreas";"59296";"2059"
"2016";"Catamarca";"hectáreas";"27496";"1396"
"2016";"Chaco";"hectáreas";"9129";"15"
"2016";"Chubut";"hectáreas";"9552";"6327"
"2016";"Ciudad Autónoma de Buenos Aires";"hectáreas";"1";"-"
"2016";"Córdoba";"hectáreas";"3541";"317"
"2016";"Corrientes";"hectáreas";"9980";"1400"
"2016";"Entre Ríos";"hectáreas";"3030";"1126"
"2016";"Formosa";"hectáreas";"615";"-"
"2016";"Jujuy";"hectáreas";"2010";"471"
"2016";"La Pampa";"hectáreas";"615182";"157250"
"2016";"La Rioja";"hectáreas";"334";"-"
"2016";"Mendoza";"hectáreas";"93529";"4499"
"2016";"Misiones";"hectáreas";"2665";"30"
"2016";"Neuquén";"hectáreas";"38356";"38"
"2016";"Río Negro";"hectáreas";"60176";"67"
"2016";"Salta";"hectáreas";"4666";"311"
"2016";"San Juan";"hectáreas";"2100";"-"
"2016";"San Luis";"hectáreas";"97861";"123"
"2016";"Santa Cruz";"hectáreas";"1036";"31"
"2016";"Santa Fe";"hectáreas";"1107";"102"
"2016";"Santiago del Estero";"hectáreas";"1675";"34"
"2016";"Tierra del Fuego";"hectáreas";"10";"5"
"2016";"Tucumán";"hectáreas";"90";"-"
"2017";"Buenos Aires";"hectáreas";"7696";"231"
"2017";"Catamarca";"hectáreas";"45170";"1"
"2017";"Chaco";"hectáreas";"4924";"1243"
"2017";"Chubut";"hectáreas";"521";"187"
"2017";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"-"
"2017";"Córdoba";"hectáreas";"45343";"11922"
"2017";"Corrientes";"hectáreas";"2388";"256"
"2017";"Entre Ríos";"hectáreas";"372";"47"
"2017";"Formosa";"hectáreas";"1343";"-"
"2017";"Jujuy";"hectáreas";"2106";"584"
"2017";"La Pampa";"hectáreas";"964408";"455175"
"2017";"La Rioja";"hectáreas";"734";"-"
"2017";"Mendoza";"hectáreas";"418799";"78524"
"2017";"Misiones";"hectáreas";"1775";"-"
"2017";"Neuquén";"hectáreas";"6787";"228"
"2017";"Río Negro";"hectáreas";"61076";"6"
"2017";"Salta";"hectáreas";"4477";"102"
"2017";"San Juan";"hectáreas";"12022";"-"
"2017";"San Luis";"hectáreas";"39";"-"
"2017";"Santa Cruz";"hectáreas";"303";"-"
"2017";"Santa Fe";"hectáreas";"1303";"75"
"2017";"Santiago del Estero";"hectáreas";"1784";"10"
"2017";"Tierra del Fuego";"hectáreas";"5";"2"
"2017";"Tucumán";"hectáreas";"178";"21"
"2018";"Buenos Aires";"hectáreas";"86852";"2419"
"2018";"Catamarca";"hectáreas";"6993";"71"
"2018";"Chaco";"hectáreas";"3067";"79"
"2018";"Chubut";"hectáreas";"100";"2"
"2018";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"-"
"2018";"Córdoba";"hectáreas";"20826";"2549"
"2018";"Corrientes";"hectáreas";"434";"49"
"2018";"Entre Ríos";"hectáreas";"4899";"3369"
"2018";"Formosa";"hectáreas";"551";"-"
"2018";"Jujuy";"hectáreas";"842";"134"
"2018";"La Pampa";"hectáreas";"723262";"228360"
"2018";"La Rioja";"hectáreas";"303";"-"
"2018";"Mendoza";"hectáreas";"126316";"8672"
"2018";"Misiones";"hectáreas";"766";"-"
"2018";"Neuquén";"hectáreas";"2826";"1046"
"2018";"Río Negro";"hectáreas";"4688";"69"
"2018";"Salta";"hectáreas";"1306";"-"
"2018";"San Juan";"hectáreas";"606";"11"
"2018";"San Luis";"hectáreas";"39";"-"
"2018";"Santa Fe";"hectáreas";"1686";"116"
"2018";"Tierra del Fuego";"hectáreas";"189";"92"
"2018";"Tucumán";"hectáreas";"1802";"0"
"2019";"Buenos Aires";"hectáreas";"301588";"44"
"2019";"Catamarca";"hectáreas";"11806";"51"
"2019";"Chubut";"hectáreas";"4254";"10"
"2019";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"0"
"2019";"Córdoba";"hectáreas";"20936";"2775"
"2019";"Corrientes";"hectáreas";"477";"147"
"2019";"Entre Ríos";"hectáreas";"953";"73"
"2019";"Formosa";"hectáreas";"2745";"0"
"2019";"Jujuy";"hectáreas";"5329";"1032"
"2019";"La Pampa";"hectáreas";"169230";"99182"
"2019";"La Rioja";"hectáreas";"34";"0"
"2019";"Mendoza";"hectáreas";"59873";"3354"
"2019";"Misiones";"hectáreas";"799";"45"
"2019";"Río Negro";"hectáreas";"388";"66"
"2019";"Salta";"hectáreas";"1156";"0"
"2019";"San Juan";"hectáreas";"1099";"21"
"2019";"San Luis";"hectáreas";"68111";"68111"
"2019";"Santa Cruz";"hectáreas";"5166";"0"
"2019";"Santa Fe";"hectáreas";"1164";"30"
"2019";"Santiago del Estero";"hectáreas";"1997";"0"
"2019";"Tierra del Fuego";"hectáreas";"189";"925"
"2020";"Buenos Aires";"hectáreas";"144029";"36"
"2020";"Catamarca";"hectáreas";"21610";"16"
"2020";"Chaco";"hectáreas";"27932";"0"
"2020";"Chubut";"hectáreas";"931";"6"
"2020";"Ciudad Autónoma de Buenos Aires";"hectáreas";"9";"0"
"2020";"Córdoba";"hectáreas";"208443";"45997"
"2020";"Entre Ríos";"hectáreas";"321604";"306"
"2020";"Formosa";"hectáreas";"73770";"0"
"2020";"Jujuy";"hectáreas";"38909";"30440"
"2020";"La Pampa";"hectáreas";"91978";"17445"
"2020";"La Rioja";"hectáreas";"2398";"0"
"2020";"Mendoza";"hectáreas";"35740";"4854"
"2020";"Misiones";"hectáreas";"2728";"443"
"2020";"Neuquén";"hectáreas";"25878";"1"
"2020";"Río Negro";"hectáreas";"162";"10"
"2020";"Salta";"hectáreas";"43594";"196"
"2020";"San Juan";"hectáreas";"1352";"18"
"2020";"San Luis";"hectáreas";"113837";"40933"
"2020";"Santa Cruz";"hectáreas";"504";"0"
"2020";"Santa Fe";"hectáreas";"1284";"1"
"2020";"Santiago del Estero";"hectáreas";"4327";"3"
"2020";"Tierra del Fuego";"hectáreas";"1";"1"
"2020";"Tucumán";"hectáreas";"11384";"548"
"2021";"Buenos Aires";"hectáreas";"7093";"45"
"2021";"Catamarca";"hectáreas";"13783";"2010"
"2021";"Chaco";"hectáreas";"3097";"306"
"2021";"Chubut";"hectáreas";"3521";"26"
"2021";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"0"
"2021";"Córdoba";"hectáreas";"63354";"32063"
"2021";"Corrientes";"hectáreas";"8897";"0"
"2021";"Entre Ríos";"hectáreas";"138793";"117"
"2021";"Formosa";"hectáreas";"340563";"0"
"2021";"Jujuy";"hectáreas";"6271";"3296"
"2021";"La Pampa";"hectáreas";"33490";"8885"
"2021";"La Rioja";"hectáreas";"21137";"7007"
"2021";"Mendoza";"hectáreas";"3119";"27"
"2021";"Misiones";"hectáreas";"1519";"251"
"2021";"Neuquén";"hectáreas";"5848";"1415"
"2021";"Río Negro";"hectáreas";"104";"1"
"2021";"Salta";"hectáreas";"12431";"0"
"2021";"San Juan";"hectáreas";"710";"0"
"2021";"San Luis";"hectáreas";"51873";"61"
"2021";"Santa Cruz";"hectáreas";"5399";"107"
"2021";"Santa Fe";"hectáreas";"185";"103"
"2021";"Santiago del Estero";"hectáreas";"2219";"60"
"2021";"Tierra del Fuego";"hectáreas";"82";"6"
"2021";"Tucumán";"hectáreas";"3455";"188"
"2022";"Buenos Aires";"hectáreas";"142";"-"
"2022";"Catamarca";"hectáreas";"29269";"982"
"2022";"Chaco";"hectáreas";"6094";"-"
"2022";"Chubut";"hectáreas";"93";"48"
"2022";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"-"
"2022";"Córdoba";"hectáreas";"64232";"8710"
"2022";"Corrientes";"hectáreas";"88831";"-"
"2022";"Entre Ríos";"hectáreas";"238942";"430"
"2022";"Formosa";"hectáreas";"176388";"-"
"2022";"Jujuy";"hectáreas";"18519";"6047"
"2022";"La Pampa";"hectáreas";"214249";"62717"
"2022";"La Rioja";"hectáreas";"36954";"12215"
"2022";"Mendoza";"hectáreas";"43826";"3890"
"2022";"Misiones";"hectáreas";"1958";"200"
"2022";"Neuquén";"hectáreas";"26";"0"
"2022";"Río Negro";"hectáreas";"9";"0"
"2022";"Salta";"hectáreas";"199267";"111"
"2022";"San Juan";"hectáreas";"4678";"86"
"2022";"San Luis";"hectáreas";"68459";"39667"
"2022";"Santa Cruz";"hectáreas";"422";"-"
"2022";"Santa Fe";"hectáreas";"44516";"430"
"2022";"Santiago del Estero";"hectáreas";"18932";"-"
"2022";"Tierra del Fuego";"hectáreas";"8200";"7380"
"2022";"Tucumán";"hectáreas";"27862";"1216"
"2023";"Buenos Aires";"hectáreas";"4523";"-"
"2023";"Catamarca";"hectáreas";"10166";"20"
"2023";"Chaco";"hectáreas";"1728";"-"
"2023";"Chubut";"hectáreas";"630";"203"
"2023";"Ciudad Autónoma de Buenos Aires";"hectáreas";"46";"-"
"2023";"Córdoba";"hectáreas";"34445";"6723"
"2023";"Corrientes";"hectáreas";"42881";"-"
"2023";"Entre Ríos";"hectáreas";"22842";"5601"
"2023";"Formosa";"hectáreas";"2623";"92"
"2023";"Jujuy";"hectáreas";"1383";"210"
"2023";"La Pampa";"hectáreas";"90990";"24110"
"2023";"La Rioja";"hectáreas";"10438";"57"
"2023";"Mendoza";"hectáreas";"91198";"11453"
"2023";"Misiones";"hectáreas";"64";"1"
"2023";"Neuquén";"hectáreas";"31";"0"
"2023";"Río Negro";"hectáreas";"3697";"269"
"2023";"Salta";"hectáreas";"3117";"-"
"2023";"San Juan";"hectáreas";"4203";"-"
"2023";"San Luis";"hectáreas";"158178";"106643"
"2023";"Santa Cruz";"hectáreas";"270";"2"
"2023";"Santa Fe";"hectáreas";"136";"-"
"2023";"Santiago del Estero";"hectáreas";"5000";"-"
"2023";"Tierra del Fuego";"hectáreas";"23";"16"
"2023";"Tucumán";"hectáreas";"3901";"452"
